date,stock,todayPosition
2022-01-21,HSY,-71729.0
2022-01-21,CMG,10058.0
2022-01-21,NKE,100090.0
2022-01-21,NUE,-142373.0
2022-01-21,EQT,-676406.0
2022-01-24,ALLE,-117791.0
2022-01-24,GPC,-109402.0
2022-01-24,HSY,-71303.0
2022-01-24,CMG,10364.0
2022-01-24,NKE,99936.0
2022-01-24,NUE,0.0
2022-01-24,EQT,-694830.0
2022-01-25,ALLE,-115626.0
2022-01-25,GPC,-105835.0
2022-01-25,HSY,-71457.0
2022-01-25,CMG,10085.0
2022-01-25,NKE,0.0
2022-01-25,EQT,-691802.0
2022-01-26,ALLE,-118376.0
2022-01-26,GPC,-108504.0
2022-01-26,HSY,-73346.0
2022-01-26,CMG,10440.0
2022-01-26,EQT,-710732.0
2022-01-27,ALLE,-118661.0
2022-01-27,GPC,-108200.0
2022-01-27,HSY,-73588.0
2022-01-27,CMG,10517.0
2022-01-27,EQT,-723693.0
2022-01-28,ALLE,-118543.0
2022-01-28,GPC,-109983.0
2022-01-28,HSY,-73497.0
2022-01-28,CMG,10621.0
2022-01-28,EQT,0.0
2022-01-31,ALLE,-117859.0
2022-01-31,GPC,-109611.0
2022-01-31,HSY,-72578.0
2022-01-31,CMG,10132.0
2022-02-01,ALLE,-116399.0
2022-02-01,GPC,-107225.0
2022-02-01,HSY,-72490.0
2022-02-01,CMG,9617.0
2022-02-01,NUE,-140884.0
2022-02-01,EQT,-672268.0
2022-02-02,ALLE,-119047.0
2022-02-02,GPC,-106387.0
2022-02-02,HSY,-72986.0
2022-02-02,CMG,9446.0
2022-02-02,NKE,96382.0
2022-02-02,NUE,-132939.0
2022-02-02,EQT,-655608.0
2022-02-03,ALLE,-118869.0
2022-02-03,GPC,-105632.0
2022-02-03,HSY,-71953.0
2022-02-03,CMG,9623.0
2022-02-03,NKE,0.0
2022-02-03,NUE,-127573.0
2022-02-03,EQT,0.0
2022-02-04,ALLE,-123036.0
2022-02-04,GPC,-107605.0
2022-02-04,HSY,-70055.0
2022-02-04,CMG,9870.0
2022-02-04,NUE,-127266.0
2022-02-04,EQT,-669120.0
2022-02-07,ALLE,-119796.0
2022-02-07,GPC,-110042.0
2022-02-07,HSY,-70449.0
2022-02-07,CMG,9631.0
2022-02-07,NKE,98258.0
2022-02-07,NUE,-128399.0
2022-02-07,EQT,0.0
2022-02-08,ALLE,-118593.0
2022-02-08,GPC,-111424.0
2022-02-08,HSY,-69785.0
2022-02-08,CMG,9833.0
2022-02-08,NKE,0.0
2022-02-08,NUE,-128561.0
2022-02-08,EQT,-674809.0
2022-02-09,ALLE,-117365.0
2022-02-09,GPC,-109788.0
2022-02-09,HSY,-69013.0
2022-02-09,CMG,9783.0
2022-02-09,NUE,-123610.0
2022-02-09,EQT,0.0
2022-02-10,ALLE,-114121.0
2022-02-10,GPC,-108143.0
2022-02-10,HSY,-70151.0
2022-02-10,CMG,8881.0
2022-02-10,NUE,-118968.0
2022-02-11,ALLE,-118367.0
2022-02-11,GPC,-112141.0
2022-02-11,HSY,-70227.0
2022-02-11,CMG,9054.0
2022-02-11,NUE,-117490.0
2022-02-11,EQT,659240.0
2022-02-14,ALLE,-120179.0
2022-02-14,GPC,-112761.0
2022-02-14,HSY,-69621.0
2022-02-14,CMG,0.0
2022-02-14,NUE,-120646.0
2022-02-14,EQT,623015.0
2022-02-15,ALLE,-120727.0
2022-02-15,GPC,-112432.0
2022-02-15,HSY,-70251.0
2022-02-15,NUE,-121735.0
2022-02-15,EQT,627392.0
2022-02-16,ALLE,-122006.0
2022-02-16,GPC,-110733.0
2022-02-16,HSY,-70414.0
2022-02-16,NKE,98130.0
2022-02-16,NUE,-117500.0
2022-02-16,EQT,618430.0
2022-02-17,ALLE,-123964.0
2022-02-17,GPC,-109923.0
2022-02-17,HSY,-70494.0
2022-02-17,NKE,97521.0
2022-02-17,NUE,-116465.0
2022-02-17,EQT,609980.0
2022-02-18,ALLE,-124668.0
2022-02-18,GPC,-111948.0
2022-02-18,HSY,-70710.0
2022-02-18,CMG,9462.0
2022-02-18,NKE,0.0
2022-02-18,NUE,-118122.0
2022-02-18,EQT,615499.0
2022-02-22,ALLE,-125170.0
2022-02-22,GPC,-112610.0
2022-02-22,HSY,-70515.0
2022-02-22,CMG,0.0
2022-02-22,NUE,0.0
2022-02-22,EQT,640041.0
2022-02-23,ALLE,-125854.0
2022-02-23,GPC,-115589.0
2022-02-23,HSY,-70710.0
2022-02-23,EQT,660764.0
2022-02-24,ALLE,-130391.0
2022-02-24,GPC,-120209.0
2022-02-24,HSY,-70522.0
2022-02-24,NUE,121086.0
2022-02-24,EQT,654708.0
2022-02-25,ALLE,-127893.0
2022-02-25,GPC,-118200.0
2022-02-25,HSY,-72586.0
2022-02-25,CMG,9623.0
2022-02-25,NUE,118162.0
2022-02-25,EQT,642633.0
2022-02-28,ALLE,-124115.0
2022-02-28,GPC,-115711.0
2022-02-28,HSY,-69918.0
2022-02-28,CMG,9543.0
2022-02-28,NUE,0.0
2022-02-28,EQT,627668.0
2022-03-01,ALLE,-124744.0
2022-03-01,GPC,116943.0
2022-03-01,HSY,-70630.0
2022-03-01,CMG,9378.0
2022-03-01,NKE,104619.0
2022-03-01,EQT,617361.0
2022-03-02,ALLE,-124624.0
2022-03-02,GPC,0.0
2022-03-02,HSY,-69734.0
2022-03-02,CMG,9601.0
2022-03-02,NKE,108046.0
2022-03-02,EQT,585001.0
2022-03-03,ALLE,-121715.0
2022-03-03,HSY,-68671.0
2022-03-03,CMG,0.0
2022-03-03,NKE,0.0
2022-03-03,NUE,103513.0
2022-03-03,EQT,574185.0
2022-03-04,ALLE,-121363.0
2022-03-04,HSY,-68635.0
2022-03-04,NUE,0.0
2022-03-04,EQT,574878.0
2022-03-07,ALLE,-121798.0
2022-03-07,HSY,-67125.0
2022-03-07,NUE,102983.0
2022-03-07,EQT,541947.0
2022-03-08,ALLE,-124515.0
2022-03-08,HSY,-66949.0
2022-03-08,NUE,108308.0
2022-03-08,EQT,-538677.0
2022-03-09,ALLE,-128203.0
2022-03-09,HSY,-70024.0
2022-03-09,CMG,10876.0
2022-03-09,NKE,117860.0
2022-03-09,NUE,113415.0
2022-03-09,EQT,-557817.0
2022-03-10,ALLE,-124722.0
2022-03-10,HSY,-69727.0
2022-03-10,CMG,10056.0
2022-03-10,NKE,112531.0
2022-03-10,NUE,109882.0
2022-03-10,EQT,-546716.0
2022-03-11,ALLE,-126534.0
2022-03-11,GPC,116372.0
2022-03-11,HSY,-69638.0
2022-03-11,CMG,9725.0
2022-03-11,NKE,113352.0
2022-03-11,NUE,106962.0
2022-03-11,EQT,0.0
2022-03-14,ALLE,0.0
2022-03-14,GPC,117395.0
2022-03-14,HSY,0.0
2022-03-14,CMG,0.0
